#node	identifier	x_position	y_position	color	annotation
BBS2	9606.ENSP00000245157	0.6120253164556962	0.26509025270758124	rgb(117,239,126)	Bardet-Biedl syndrome 2 protein; The BBSome complex is thought to function as a coat complex required for sorting of specific membrane proteins to the primary cilia. The BBSome complex is required for ciliogenesis but is dispensable for centriolar satellite function. This ciliogenic function is mediated in part by the Rab8 GDP/GTP exchange factor, which localizes to the basal body and contacts the BBSome. Rab8(GTP) enters the primary cilium and promotes extension of the ciliary membrane. Firstly the BBSome associates with the ciliary membrane and binds to RAB3IP/Rabin8, the guanosyl ex [...] 
BEST1	9606.ENSP00000399709	0.3778481012658228	0.5848014440433214	rgb(117,239,135)	Bestrophin-1; Forms calcium-sensitive chloride channels. Highly permeable to bicarbonate.
C1QTNF5	9606.ENSP00000431140	0.5677215189873419	0.14292418772563176	rgb(117,239,140)	Complement C1q tumor necrosis factor-related protein 5; C1q and TNF related 5.
C8orf37	9606.ENSP00000286688	0.529113924050633	0.4074007220216606	rgb(117,117,239)	Protein C8orf37; May be involved in photoreceptor outer segment disk morphogenesis (By similarity).
CA4	9606.ENSP00000300900	0.36202531645569624	0.6835740072202167	rgb(117,239,168)	Carbonic anhydrase 4; Reversible hydration of carbon dioxide. May stimulate the sodium/bicarbonate transporter activity of SLC4A4 that acts in pH homeostasis. It is essential for acid overload removal from the retina and retina epithelium, and acid release in the choriocapillaris in the choroid; Belongs to the alpha-carbonic anhydrase family.
CACNA1F	9606.ENSP00000365441	0.34050632911392403	0.26898916967509023	rgb(117,239,187)	Voltage-dependent L-type calcium channel subunit alpha-1F; [Isoform 1]: Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1F gives rise to L-type calcium currents. Long-lasting (L-type) calcium channels belong to the 'high-voltage activated' (HVA) group. They are blocked by dihydropyridines (DHP), phenylalkylamines, and by benzot [...] 
CC2D2A	9606.ENSP00000403465	0.5734177215189874	0.24364620938628162	rgb(117,188,239)	Coiled-coil and C2 domain-containing protein 2A; Component of the tectonic-like complex, a complex localized at the transition zone of primary cilia and acting as a barrier that prevents diffusion of transmembrane proteins between the cilia and plasma membranes. Required for ciliogenesis and sonic hedgehog/SHH signaling (By similarity).
CCDC51	9606.ENSP00000379047	0.8322784810126583	0.1227797833935018	rgb(136,239,117)	Mitochondrial potassium channel; Mitochondrial potassium channel located in the mitochondrial inner membrane. Together with ABCB8/MITOSUR, forms a protein complex localized in the mitochondria that mediates ATP- dependent potassium currents across the inner membrane (that is, mitoK(ATP) channel). May contribute to the homeostatic control of cellular metabolism under stress conditions by regulating the mitochondrial matrix volume.
CEP162	9606.ENSP00000385215	0.7708860759493671	0.28588447653429605	rgb(131,239,117)	Centrosomal protein of 162 kDa; Required to promote assembly of the transition zone in primary cilia. Acts by specifically recognizing and binding the axonemal microtubule. Localizes to the distal ends of centrioles before ciliogenesis and directly binds to axonemal microtubule, thereby promoting and restricting transition zone formation specifically at the cilia base. Required to mediate CEP290 association with microtubules. Belongs to the CEP162 family.
CEP290	9606.ENSP00000448012	0.5936708860759494	0.35541516245487365	rgb(239,183,117)	Centrosomal protein of 290 kDa; Involved in early and late steps in cilia formation. Its association with CCP110 is required for inhibition of primary cilia formation by CCP110. May play a role in early ciliogenesis in the disappearance of centriolar satellites and in the transition of primary ciliar vesicles (PCVs) to capped ciliary vesicles (CCVs). Required for the centrosomal recruitment of RAB8A and for the targeting of centriole satellite proteins to centrosomes such as of PCM1. Required for the correct localization of ciliary and phototransduction proteins in retinal photorecepto [...] 
CERKL	9606.ENSP00000341159	0.43544303797468353	0.5718050541516246	rgb(216,239,117)	Ceramide kinase-like protein; Has no detectable ceramide-kinase activity. Overexpression of CERKL protects cells from apoptosis in oxidative stress conditions.
CFAP20	9606.ENSP00000262498	0.3911392405063291	0.1175812274368231	rgb(141,239,117)	Cilia- and flagella-associated protein 20; Cilium- and flagellum-specific protein that plays a role in axonemal structure organization and motility. Involved in the regulation of the size and morphology of cilia. Required for axonemal microtubules polyglutamylation.
CFAP410	9606.ENSP00000381047	0.38987341772151896	0.21505415162454872	rgb(117,239,220)	Cilia and flagella associated protein 410.
CHM	9606.ENSP00000350386	0.759493670886076	0.44249097472924187	rgb(117,122,239)	Rab proteins geranylgeranyltransferase component A 1; Substrate-binding subunit of the Rab geranylgeranyltransferase (GGTase) complex. Binds unprenylated Rab proteins and presents the substrate peptide to the catalytic component B composed of RABGGTA and RABGGTB, and remains bound to it after the geranylgeranyl transfer reaction. The component A is thought to be regenerated by transferring its prenylated Rab back to the donor membrane. Besides, a pre-formed complex consisting of CHM and the Rab GGTase dimer (RGGT or component B) can bind to and prenylate Rab proteins; this alternative  [...] 
CLCC1	9606.ENSP00000349456	0.8424050632911394	0.8278339350180506	rgb(206,239,117)	Chloride channel CLIC-like protein 1; Seems to act as a chloride ion channel. Plays a role in retina development. Belongs to the chloride channel MCLC family.
CLN3	9606.ENSP00000454229	0.8227848101265823	0.3443682310469314	rgb(239,206,117)	Battenin; Involved in microtubule-dependent, anterograde transport of late endosomes and lysosomes.
CLRN1	9606.ENSP00000329158	0.6329113924050633	0.6055956678700362	rgb(239,211,117)	Clarin-1; May have a role in the excitatory ribbon synapse junctions between hair cells and cochlear ganglion cells and presumably also in analogous synapses within the retina; Belongs to the clarin family.
CNGA1	9606.ENSP00000384264	0.4088607594936709	0.6016967509025272	rgb(239,201,117)	cGMP-gated cation channel alpha-1; Subunit of the rod cyclic GMP-gated cation channel, which is involved in the final stage of the phototransduction pathway. When light hits rod photoreceptors, cGMP concentrations decrease causing rapid closure of CNGA1/CNGB1 channels and, therefore, hyperpolarization of the membrane potential.
CNGB1	9606.ENSP00000251102	0.44936708860759494	0.49772563176895307	rgb(239,197,117)	Cyclic nucleotide-gated cation channel beta-1; Subunit of cyclic nucleotide-gated (CNG) channels, nonselective cation channels, which play important roles in both visual and olfactory signal transduction. When associated with CNGA1, it is involved in the regulation of ion flow into the rod photoreceptor outer segment (ROS), in response to light-induced alteration of the levels of intracellular cGMP.
COQ2	9606.ENSP00000310873	0.6784810126582279	0.842129963898917	rgb(127,239,117)	4-hydroxybenzoate polyprenyltransferase, mitochondrial; Catalyzes the prenylation of para-hydroxybenzoate (PHB) with an all-trans polyprenyl group. Mediates the second step in the final reaction sequence of coenzyme Q (CoQ) biosynthesis, which is the condensation of the polyisoprenoid side chain with PHB, generating the first membrane-bound Q intermediate.
COQ4	9606.ENSP00000300452	0.7227848101265824	0.9110108303249098	rgb(117,239,145)	Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial; Component of the coenzyme Q biosynthetic pathway. May play a role in organizing a multi-subunit COQ enzyme complex required for coenzyme Q biosynthesis. Required for steady-state levels of other COQ polypeptides; Belongs to the COQ4 family.
COQ5	9606.ENSP00000288532	0.6810126582278482	0.9155595667870037	rgb(117,155,239)	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial; Methyltransferase required for the conversion of 2- polyprenyl-6-methoxy-1,4-benzoquinol (DDMQH2) to 2-polyprenyl-3-methyl- 6-methoxy-1,4-benzoquinol (DMQH2); Belongs to the class I-like SAM-binding methyltransferase superfamily. MenG/UbiE family.
COQ8B	9606.ENSP00000315118	0.7544303797468355	0.8817689530685922	rgb(192,239,117)	Atypical kinase COQ8B, mitochondrial; Atypical kinase involved in the biosynthesis of coenzyme Q, also named ubiquinone, an essential lipid-soluble electron transporter for aerobic cellular respiration. Its substrate specificity is unclear: does not show any protein kinase activity. Probably acts as a small molecule kinase, possibly a lipid kinase that phosphorylates a prenyl lipid in the ubiquinone biosynthesis pathway. Required for podocyte migration.
CRB1	9606.ENSP00000356370	0.7772151898734178	0.5055234657039711	rgb(117,239,192)	Protein crumbs homolog 1; Plays a role in photoreceptor morphogenesis in the retina. May maintain cell polarization and adhesion; Belongs to the Crumbs protein family.
CRB2	9606.ENSP00000362734	0.7050632911392406	0.5165703971119134	rgb(117,239,173)	Protein crumbs homolog 2; Apical polarity protein that plays a central role during the epithelial-to-mesenchymal transition (EMT) at gastrulation, when newly specified mesodermal cells move inside the embryo. Acts by promoting cell ingression, the process by which cells leave the epithelial epiblast and move inside the embryo to form a new tissue layer. The anisotropic distribution of CRB2 and MYH10/myosin-IIB at cell edges define which cells will ingress: cells with high apical CRB2 are probably extruded from the epiblast by neighboring cells with high levels of apical MYH10/myosin-II [...] 
CRX	9606.ENSP00000221996	0.38924050632911394	0.4756317689530686	rgb(239,173,117)	Cone-rod homeobox protein; Transcription factor that binds and transactivates the sequence 5'-TAATC[CA]-3' which is found upstream of several photoreceptor-specific genes, including the opsin genes. Acts synergistically with other transcription factors, such as NRL, RORB and RAX, to regulate photoreceptor cell-specific gene transcription. Essential for the maintenance of mammalian photoreceptors. Belongs to the paired homeobox family.
CWC27	9606.ENSP00000370460	0.1689873417721519	0.6816245487364622	rgb(117,239,234)	Spliceosome-associated protein CWC27 homolog; As part of the spliceosome, plays a role in pre-mRNA splicing. Probable inactive PPIase with no peptidyl-prolyl cis-trans isomerase activity.
CYP4V2	9606.ENSP00000368079	0.629113924050633	0.7583032490974729	rgb(117,117,239)	Cytochrome P450 4V2; Omega-hydroxylase that oxidizes medium-chain saturated fatty acids and polyunsaturated omega-3 fatty acids, and which plays a role in fatty acid and steroid metabolism in the eye. Catalyzes the omega-hydroxylation of medium-chain saturated fatty acids such as laurate, myristate and palmitate in an NADPH-dependent pathway. The substrate specificity is higher for myristate > laurate > palmitate (C14>C16>C12). Acts as a polyunsaturated omega-3 fatty acids hydroxylase by mediating oxidation of docosahexaenoate (DHA) to 22-hydroxydocosahexaenoate. Also produces some 21- [...] 
DHDDS	9606.ENSP00000353104	0.6069620253164558	0.6829241877256318	rgb(239,122,117)	Dehydrodolichyl diphosphate synthase complex subunit DHDDS; With NUS1, forms the dehydrodolichyl diphosphate synthase (DDS) complex, an essential component of the dolichol monophosphate (Dol-P) biosynthetic machinery. Both subunits contribute to enzymatic activity, i.e. condensation of multiple copies of isopentenyl pyrophosphate (IPP) to farnesyl pyrophosphate (FPP) to produce dehydrodolichyl diphosphate (Dedol-PP), a precursor of dolichol phosphate which is utilized as a sugar carrier in protein glycosylation in the endoplasmic reticulum (ER). Regulates the glycosylation and stabilit [...] 
DHX38	9606.ENSP00000268482	0.21202531645569622	0.7251624548736463	rgb(239,154,117)	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16; Probable ATP-binding RNA helicase (Probable). Involved in pre-mRNA splicing as component of the spliceosome.
EMC1	9606.ENSP00000420608	0.19493670886075953	0.24364620938628162	rgb(230,239,117)	ER membrane protein complex subunit 1; Belongs to the EMC1 family.
ENSA	9606.ENSP00000341743	0.23417721518987344	0.6465342960288809	rgb(239,216,117)	Alpha-endosulfine; Protein phosphatase inhibitor that specifically inhibits protein phosphatase 2A (PP2A) during mitosis. When phosphorylated at Ser-67 during mitosis, specifically interacts with PPP2R2D (PR55-delta) and inhibits its activity, leading to inactivation of PP2A, an essential condition to keep cyclin-B1-CDK1 activity high during M phase (By similarity). Also acts as a stimulator of insulin secretion by interacting with sulfonylurea receptor (ABCC8), thereby preventing sulfonylurea from binding to its receptor and reducing K(ATP) channel currents.
EYS	9606.ENSP00000359655	0.5303797468354431	0.562057761732852	rgb(117,150,239)	Protein eyes shut homolog; Required to maintain the integrity of photoreceptor cells. Specifically required for normal morphology of the photoreceptor ciliary pocket, and might thus facilitate protein trafficking between the photoreceptor inner and outer segments via the transition zone (By similarity); Belongs to the EYS family.
FAM161A	9606.ENSP00000385158	0.5544303797468355	0.46718411552346567	rgb(174,239,117)	Protein FAM161A; Involved in ciliogenesis.
FSCN2	9606.ENSP00000334665	0.4911392405063291	0.6640794223826716	rgb(239,140,117)	Fascin-2; Acts as an actin bundling protein. May play a pivotal role in photoreceptor cell-specific events, such as disk morphogenesis.
GUCA1B	9606.ENSP00000230361	0.45569620253164556	0.5984476534296029	rgb(122,239,117)	Guanylyl cyclase-activating protein 2; Stimulates two retinal guanylyl cyclases (GCs) GUCY2D and GUCY2F when free calcium ions concentration is low, and inhibits GUCY2D and GUCY2F when free calcium ions concentration is elevated (By similarity). This Ca(2+)-sensitive regulation of GCs is a key event in recovery of the dark state of rod photoreceptors following light exposure (By similarity). May be involved in cone photoreceptor response and recovery of response in bright light (By similarity).
GUCY2D	9606.ENSP00000254854	0.4468354430379747	0.3827075812274368	rgb(239,145,117)	Retinal guanylyl cyclase 1; Catalyzes the synthesis of cyclic GMP (cGMP) in rods and cones of photoreceptors. Plays an essential role in phototransduction, by mediating cGMP replenishment. May also participate in the trafficking of membrane-asociated proteins to the photoreceptor outer segment membrane (By similarity). Belongs to the adenylyl cyclase class-4/guanylyl cyclase family.
HGSNAT	9606.ENSP00000368965	0.849367088607595	0.434043321299639	rgb(117,202,239)	Heparan-alpha-glucosaminide N-acetyltransferase; Lysosomal acetyltransferase that acetylates the non-reducing terminal alpha-glucosamine residue of intralysosomal heparin or heparan sulfate, converting it into a substrate for luminal alpha-N-acetyl glucosaminidase.
HK1	9606.ENSP00000494664	0.7443037974683545	0.5568592057761733	rgb(117,160,239)	Hexokinase-1; Catalyzes the phosphorylation of various hexoses, such as D- glucose, D-glucosamine, D-fructose, D-mannose and 2-deoxy-D-glucose, to hexose 6-phosphate (D-glucose 6-phosphate, D-glucosamine 6-phosphate, D-fructose 6-phosphate, D-mannose 6-phosphate and 2-deoxy-D-glucose 6- phosphate, respectively). Does not phosphorylate N-acetyl-D-glucosamine. Mediates the initial step of glycolysis by catalyzing phosphorylation of D-glucose to D-glucose 6-phosphate (By similarity). Involved in innate immunity and inflammation by acting as a pattern recognition receptor for bacterial pep [...] 
HKDC1	9606.ENSP00000346643	0.8164556962025317	0.545812274368231	rgb(239,192,117)	Hexokinase HKDC1; Catalyzes the phosphorylation of hexose to hexose 6- phosphate, although at very low level compared to other hexokinases. Has low glucose phosphorylating activity compared to other hexokinases. Involved in glucose homeostasis and hepatic lipid accumulation. Required to maintain whole-body glucose homeostasis during pregnancy; however additional evidences are required to confirm this role (By similarity).
IDH3B	9606.ENSP00000482773	0.4151898734177215	0.6738267148014441	rgb(117,169,239)	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Plays a structural role to facilitate the assembly and ensure the full activity of the enzyme catalyzing the decarboxylation of isocitrate (ICT) into alpha-ketoglutarate. The heterodimer composed of the alpha (IDH3A) and beta (IDH3B) subunits and the heterodimer composed of the alpha (IDH3A) and gamma (IDH3G) subunits, have considerable basal activity but the full activity of the heterotetramer (containing two subunits of IDH3A, one of IDH3B and one of IDH3G) requires the assembly and cooperative function of both heterodimers.
IFT140	9606.ENSP00000406012	0.6531645569620254	0.27743682310469314	rgb(155,239,117)	Intraflagellar transport protein 140 homolog; Component of the IFT complex A (IFT-A), a complex required for retrograde ciliary transport and entry into cilia of G protein- coupled receptors (GPCRs). Plays a pivotal role in proper development and function of ciliated cells through its role in ciliogenesis and/or cilium maintenance. Required for the development and maintenance of the outer segments of rod and cone photoreceptor cells. Plays a role in maintenance and the delivery of opsin to the outer segment of photoreceptor cells (By similarity).
IFT172	9606.ENSP00000260570	0.6936708860759495	0.29823104693140795	rgb(117,146,239)	Intraflagellar transport protein 172 homolog; Required for the maintenance and formation of cilia. Plays an indirect role in hedgehog (Hh) signaling, cilia being required for all activity of the hedgehog pathway (By similarity); Belongs to the IFT172 family.
IFT43	9606.ENSP00000238628	0.6613924050632912	0.15981949458483755	rgb(239,178,117)	Intraflagellar transport protein 43 homolog; As a component of IFT complex A (IFT-A), a complex required for retrograde ciliary transport and entry into cilia of G protein- coupled receptors (GPCRs), it is involved in ciliogenesis. Involved in retrograde ciliary transport along microtubules from the ciliary tip to the base.
IMPDH1	9606.ENSP00000345096	0.5632911392405063	0.5308664259927799	rgb(117,239,201)	Inosine-5'-monophosphate dehydrogenase 1; Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate-limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth. Could also have a single-stranded nucleic acid-binding activity and could play a role in RNA and/or DNA metabolism. It may also have a role in the development of malignancy and the growth progression of some tumors; Belongs to the IMPDH/GMPR family.
IMPG1	9606.ENSP00000358966	0.16329113924050634	0.4775812274368231	rgb(202,239,117)	Interphotoreceptor matrix proteoglycan 1; May interact with hyaluronan which may serve to form a basic macromolecular scaffold comprising the insoluble interphotoreceptor matrix.
IMPG2	9606.ENSP00000193391	0.5120253164556963	0.6393862815884477	rgb(117,239,154)	Interphotoreceptor matrix proteoglycan 2; Chondroitin sulfate- and hyaluronan-binding proteoglycan involved in the organization of interphotoreceptor matrix; may participate in the maturation and maintenance of the light-sensitive photoreceptor outer segment. Binds heparin.
INPP5E	9606.ENSP00000360777	0.44936708860759494	0.22350180505415163	rgb(239,126,117)	Phosphatidylinositol polyphosphate 5-phosphatase type IV; Phosphatidylinositol (PtdIns) phosphatase that specifically hydrolyzes the 5-phosphate of phosphatidylinositol-3,4,5-trisphosphate (PtdIns(3,4,5)P3), phosphatidylinositol 4,5-bisphosphate (PtdIns(4,5)P2) and phosphatidylinositol 3,5-bisphosphate (PtdIns(3,5)P2)  (By similarity). Specific for lipid substrates, inactive towards water soluble inositol phosphates. Plays an essential role in the primary cilium by controlling ciliary growth and phosphoinositide 3-kinase (PI3K) signaling and stability (By similarity); Belongs to the in [...] 
KIAA1549	9606.ENSP00000416040	0.3822784810126582	0.9207581227436824	rgb(117,197,239)	UPF0606 protein KIAA1549; KIAA1549; Belongs to the UPF0606 family.
KIF3B	9606.ENSP00000364864	0.6949367088607595	0.18256317689530688	rgb(117,141,239)	Kinesin-like protein KIF3B, N-terminally processed; Involved in tethering the chromosomes to the spindle pole and in chromosome movement. Microtubule-based anterograde translocator for membranous organelles. Plus end-directed microtubule sliding activity in vitro (By similarity).
KIZ	9606.ENSP00000479542	0.8816455696202533	0.8681227436823106	rgb(117,221,239)	Centrosomal protein kizuna; Centrosomal protein required for establishing a robust mitotic centrosome architecture that can endure the forces that converge on the centrosomes during spindle formation. Required for stabilizing the expanded pericentriolar material around the centriole. Belongs to the kizuna family.
KLHL7	9606.ENSP00000343273	0.4259493670886076	0.6946209386281589	rgb(239,131,117)	Kelch-like protein 7; Substrate-specific adapter of a BCR (BTB-CUL3-RBX1) E3 ubiquitin ligase complex. The BCR(KLHL7) complex acts by mediating ubiquitination and subsequent degradation of substrate proteins. Probably mediates 'Lys-48'-linked ubiquitination.
LCA5	9606.ENSP00000376686	0.6721518987341772	0.4398916967509025	rgb(239,239,117)	Lebercilin; Involved in intraflagellar protein (IFT) transport in photoreceptor cilia; Belongs to the LCA5 family.
LRAT	9606.ENSP00000337224	0.600632911392405	0.5380144404332131	rgb(117,239,149)	Lecithin retinol acyltransferase; Transfers the acyl group from the sn-1 position of phosphatidylcholine to all-trans retinol, producing all-trans retinyl esters. Retinyl esters are storage forms of vitamin A (Probable). LRAT plays a critical role in vision (Probable). It provides the all-trans retinyl ester substrates for the isomerohydrolase which processes the esters into 11-cis-retinol in the retinal pigment epithelium; due to a membrane-associated alcohol dehydrogenase, 11 cis-retinol is oxidized and converted into 11-cis- retinaldehyde which is the chromophore for rhodopsin and t [...] 
MAK	9606.ENSP00000346484	0.45759493670886076	0.8505776173285199	rgb(14,178,0)	Serine/threonine-protein kinase MAK; Essential for the regulation of ciliary length and required for the long-term survival of photoreceptors (By similarity). Phosphorylates FZR1 in a cell cycle-dependent manner. Plays a role in the transcriptional coactivation of AR. Could play an important function in spermatogenesis. May play a role in chromosomal stability in prostate cancer cells; Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. CDC2/CDKX subfamily.
MERTK	9606.ENSP00000295408	0.5715189873417722	0.6094945848375452	rgb(117,117,239)	Tyrosine-protein kinase Mer; Receptor tyrosine kinase that transduces signals from the extracellular matrix into the cytoplasm by binding to several ligands including LGALS3, TUB, TULP1 or GAS6. Regulates many physiological processes including cell survival, migration, differentiation, and phagocytosis of apoptotic cells (efferocytosis). Ligand binding at the cell surface induces autophosphorylation of MERTK on its intracellular domain that provides docking sites for downstream signaling molecules. Following activation by ligand, interacts with GRB2 or PLCG2 and induces phosphorylation [...] 
MT-ATP6	9606.ENSP00000354632	0.918354430379747	0.7362093862815885	rgb(255,0,0)	ATP synthase subunit a; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subuni [...] 
MVK	9606.ENSP00000228510	0.7626582278481013	0.7459566787003611	rgb(117,235,239)	Mevalonate kinase; Catalyzes the phosphorylation of mevalonate to mevalonate 5- phosphate, a key step in isoprenoid and cholesterol biosynthesis ; Belongs to the GHMP kinase family. Mevalonate kinase subfamily.
NEK2	9606.ENSP00000355966	0.8379746835443038	0.2488447653429603	rgb(169,239,117)	Serine/threonine-protein kinase Nek2; Protein kinase which is involved in the control of centrosome separation and bipolar spindle formation in mitotic cells and chromatin condensation in meiotic cells. Regulates centrosome separation (essential for the formation of bipolar spindles and high-fidelity chromosome separation) by phosphorylating centrosomal proteins such as CROCC, CEP250 and NINL, resulting in their displacement from the centrosomes. Regulates kinetochore microtubule attachment stability in mitosis via phosphorylation of NDC80. Involved in regulation of mitotic checkpoint  [...] 
NEUROD1	9606.ENSP00000295108	0.2626582278481013	0.7570036101083033	rgb(164,239,117)	Neurogenic differentiation factor 1; Acts as a transcriptional activator: mediates transcriptional activation by binding to E box-containing promoter consensus core sequences 5'-CANNTG-3'. Associates with the p300/CBP transcription coactivator complex to stimulate transcription of the secretin gene as well as the gene encoding the cyclin-dependent kinase inhibitor CDKN1A. Contributes to the regulation of several cell differentiation pathways, like those that promote the formation of early retinal ganglion cells, inner ear sensory neurons, granule cells forming either the cerebellum or  [...] 
NR2E3	9606.ENSP00000482504	0.43481012658227847	0.5399638989169675	rgb(117,212,239)	Photoreceptor-specific nuclear receptor; Orphan nuclear receptor of retinal photoreceptor cells. Transcriptional factor that is an activator of rod development and repressor of cone development. Binds the promoter region of a number of rod- and cone-specific genes, including rhodopsin, M- and S-opsin and rod-specific phosphodiesterase beta subunit. Enhances rhodopsin expression. Represses M- and S-cone opsin expression. Belongs to the nuclear hormone receptor family. NR2 subfamily.
NRL	9606.ENSP00000454062	0.3556962025316456	0.5237184115523467	rgb(235,239,117)	Neural retina-specific leucine zipper protein; Acts as a transcriptional activator which regulates the expression of several rod-specific genes, including RHO and PDE6B. Functions also as a transcriptional coactivator, stimulating transcription mediated by the transcription factor CRX and NR2E3. Binds in a sequence-specific manner to the rhodopsin promoter.
