#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA4	PDE6G	9606.ENSP00000359245	9606.ENSP00000328412	0	0	0	0	0.094	0	0	0.683	0.700
ABCA4	CLRN1	9606.ENSP00000359245	9606.ENSP00000329158	0	0	0	0	0	0	0	0.507	0.507
ABCA4	PCARE	9606.ENSP00000359245	9606.ENSP00000332809	0	0	0	0	0.087	0	0	0.749	0.761
ABCA4	FSCN2	9606.ENSP00000359245	9606.ENSP00000334665	0	0	0	0	0	0	0	0.699	0.699
ABCA4	LRAT	9606.ENSP00000359245	9606.ENSP00000337224	0	0	0	0	0	0	0	0.628	0.628
ABCA4	CERKL	9606.ENSP00000359245	9606.ENSP00000341159	0	0	0	0	0.061	0	0	0.818	0.822
ABCA4	KLHL7	9606.ENSP00000359245	9606.ENSP00000343273	0	0	0	0	0	0	0	0.583	0.583
ABCA4	IMPDH1	9606.ENSP00000359245	9606.ENSP00000345096	0	0	0	0	0	0	0	0.668	0.668
ABCA4	CHM	9606.ENSP00000359245	9606.ENSP00000350386	0	0	0	0	0	0	0	0.403	0.403
ABCA4	RGR	9606.ENSP00000359245	9606.ENSP00000352427	0	0	0	0	0.048	0	0	0.470	0.474
ABCA4	DHDDS	9606.ENSP00000359245	9606.ENSP00000353104	0.057	0	0	0	0.045	0	0	0.485	0.496
ABCA4	TOPORS	9606.ENSP00000359245	9606.ENSP00000353735	0	0	0	0	0	0	0	0.599	0.599
ABCA4	SEMA4A	9606.ENSP00000359245	9606.ENSP00000357265	0	0	0	0	0	0.045	0	0.731	0.732
ABCA4	IMPG1	9606.ENSP00000359245	9606.ENSP00000358966	0	0	0	0	0.080	0	0	0.489	0.510
ABCA4	CYP4V2	9606.ENSP00000359245	9606.ENSP00000368079	0	0	0	0	0.067	0.066	0	0.436	0.465
ABCA4	TTC8	9606.ENSP00000359245	9606.ENSP00000482306	0	0	0	0	0	0	0	0.465	0.465
ABCA4	CACNA1F	9606.ENSP00000359245	9606.ENSP00000365441	0	0	0	0	0.059	0.061	0	0.453	0.474
ABCA4	RBP3	9606.ENSP00000359245	9606.ENSP00000463151	0	0	0	0	0.088	0	0	0.540	0.563
ABCA4	SPATA7	9606.ENSP00000359245	9606.ENSP00000377176	0	0	0	0	0	0	0	0.577	0.577
ABCA4	NRL	9606.ENSP00000359245	9606.ENSP00000454062	0	0	0	0	0.042	0	0	0.581	0.581
ABCA4	RP1L1	9606.ENSP00000359245	9606.ENSP00000371923	0	0	0	0	0.049	0	0	0.587	0.590
ABCA4	FAM161A	9606.ENSP00000359245	9606.ENSP00000385158	0	0	0	0	0.045	0	0	0.594	0.596
ABCA4	IDH3B	9606.ENSP00000359245	9606.ENSP00000482773	0	0	0	0	0	0	0	0.617	0.617
ABCA4	PDE6B	9606.ENSP00000359245	9606.ENSP00000420295	0	0	0	0	0.059	0	0	0.645	0.651
ABCA4	CEP290	9606.ENSP00000359245	9606.ENSP00000448012	0	0	0	0	0	0	0	0.711	0.711
ABCA4	PRCD	9606.ENSP00000359245	9606.ENSP00000467661	0	0	0	0	0	0	0	0.715	0.715
ABCA4	NR2E3	9606.ENSP00000359245	9606.ENSP00000482504	0	0	0	0	0.067	0.049	0	0.709	0.719
ABCA4	CNGA1	9606.ENSP00000359245	9606.ENSP00000384264	0	0	0	0	0.105	0	0	0.725	0.743
ABCA4	RAX2	9606.ENSP00000359245	9606.ENSP00000450456	0	0	0	0	0	0.045	0	0.768	0.768
ABCA4	RPGRIP1	9606.ENSP00000359245	9606.ENSP00000382895	0	0	0	0	0.060	0.046	0	0.776	0.782
ABCA4	PROM1	9606.ENSP00000359245	9606.ENSP00000426809	0	0	0	0	0.088	0	0	0.794	0.804
ABCA4	BEST1	9606.ENSP00000359245	9606.ENSP00000399709	0	0	0	0	0	0	0	0.811	0.811
ABCA4	RDH12	9606.ENSP00000359245	9606.ENSP00000449079	0	0	0	0	0.055	0.069	0	0.823	0.831
ABCA4	EYS	9606.ENSP00000359245	9606.ENSP00000359655	0	0	0	0	0	0.070	0	0.829	0.834
ABCA4	RPGR	9606.ENSP00000359245	9606.ENSP00000495537	0	0	0	0	0.057	0.062	0	0.899	0.903
ARL2BP	BBS2	9606.ENSP00000219204	9606.ENSP00000245157	0	0	0	0	0.067	0	0	0.389	0.405
ARL2BP	WDR19	9606.ENSP00000219204	9606.ENSP00000382717	0	0	0	0	0	0	0	0.426	0.426
ARL2BP	RP1L1	9606.ENSP00000219204	9606.ENSP00000371923	0	0	0	0	0	0	0	0.473	0.473
ARL2BP	RPGR	9606.ENSP00000219204	9606.ENSP00000495537	0	0	0	0	0	0	0	0.505	0.505
ARL2BP	TTC8	9606.ENSP00000219204	9606.ENSP00000482306	0	0	0	0	0.053	0.049	0	0.504	0.514
ARL2BP	C8orf37	9606.ENSP00000219204	9606.ENSP00000286688	0	0	0	0	0	0	0	0.539	0.539
ARL2BP	ARL3	9606.ENSP00000219204	9606.ENSP00000260746	0	0	0	0	0.049	0.692	0	0.463	0.829
ARL2BP	CFAP20	9606.ENSP00000219204	9606.ENSP00000262498	0	0	0	0	0.109	0.743	0	0.384	0.846
ARL3	RP2	9606.ENSP00000260746	9606.ENSP00000218340	0	0	0	0	0.042	0.961	0.700	0.604	0.994
ARL3	ARL2BP	9606.ENSP00000260746	9606.ENSP00000219204	0	0	0	0	0.049	0.692	0	0.463	0.829
ARL3	BBS2	9606.ENSP00000260746	9606.ENSP00000245157	0	0	0	0	0.042	0.098	0	0.411	0.446
ARL3	IFT172	9606.ENSP00000260746	9606.ENSP00000260570	0	0	0	0	0.056	0	0	0.422	0.431
ARL3	RHO	9606.ENSP00000260746	9606.ENSP00000296271	0	0	0	0	0	0.045	0	0.404	0.406
ARL3	CC2D2A	9606.ENSP00000260746	9606.ENSP00000403465	0	0	0	0	0.062	0	0	0.408	0.421
ARL3	INPP5E	9606.ENSP00000260746	9606.ENSP00000360777	0	0	0	0	0	0.053	0	0.448	0.454
ARL3	KIF3B	9606.ENSP00000260746	9606.ENSP00000364864	0	0	0	0	0.061	0.105	0	0.408	0.459
ARL3	RPGRIP1	9606.ENSP00000260746	9606.ENSP00000382895	0	0	0	0	0.074	0.132	0	0.383	0.461
ARL3	RP1L1	9606.ENSP00000260746	9606.ENSP00000371923	0	0	0	0	0	0.322	0	0.252	0.471
ARL3	WDR19	9606.ENSP00000260746	9606.ENSP00000382717	0	0	0	0	0.062	0	0	0.472	0.483
ARL3	IFT140	9606.ENSP00000260746	9606.ENSP00000406012	0	0	0	0	0.099	0	0	0.460	0.493
ARL3	CEP290	9606.ENSP00000260746	9606.ENSP00000448012	0	0	0	0	0.049	0.095	0	0.489	0.521
ARL3	BBS1	9606.ENSP00000260746	9606.ENSP00000317469	0	0	0	0	0.083	0.145	0	0.519	0.590
ARL3	RPGR	9606.ENSP00000260746	9606.ENSP00000495537	0	0	0	0	0.042	0.058	0	0.688	0.694
ARL6	BBS2	9606.ENSP00000419619	9606.ENSP00000245157	0	0	0	0	0.055	0.453	0.500	0.335	0.805
ARL6	C8orf37	9606.ENSP00000419619	9606.ENSP00000286688	0	0	0	0	0.155	0	0	0.340	0.418
ARL6	BBS1	9606.ENSP00000419619	9606.ENSP00000317469	0	0	0	0	0.055	0.762	0.500	0.595	0.948
ARL6	TTC8	9606.ENSP00000419619	9606.ENSP00000482306	0	0	0	0	0.226	0.453	0.500	0.391	0.854
BBS1	IFT43	9606.ENSP00000317469	9606.ENSP00000238628	0	0	0	0	0.056	0.215	0	0.537	0.627
BBS1	BBS2	9606.ENSP00000317469	9606.ENSP00000245157	0	0	0	0	0.334	0.880	0.900	0.999	0.999
BBS1	IFT172	9606.ENSP00000317469	9606.ENSP00000260570	0	0	0	0	0.451	0	0	0.675	0.814
BBS1	ARL3	9606.ENSP00000317469	9606.ENSP00000260746	0	0	0	0	0.083	0.145	0	0.519	0.590
BBS1	C8orf37	9606.ENSP00000317469	9606.ENSP00000286688	0	0	0	0	0.049	0	0	0.610	0.613
BBS1	RHO	9606.ENSP00000317469	9606.ENSP00000296271	0	0	0	0	0	0	0	0.433	0.433
BBS1	USH2A	9606.ENSP00000317469	9606.ENSP00000305941	0	0	0	0	0.052	0.106	0	0.526	0.563
BBS1	SPATA7	9606.ENSP00000317469	9606.ENSP00000377176	0	0	0	0	0.092	0	0	0.392	0.424
BBS1	RDH12	9606.ENSP00000317469	9606.ENSP00000449079	0	0	0	0	0	0.056	0	0.416	0.425
BBS1	EYS	9606.ENSP00000317469	9606.ENSP00000359655	0	0	0	0	0	0.074	0	0.409	0.429
BBS1	ABCA4	9606.ENSP00000317469	9606.ENSP00000359245	0	0	0	0	0	0	0	0.470	0.470
BBS1	KIF3B	9606.ENSP00000317469	9606.ENSP00000364864	0	0	0	0	0.073	0	0	0.459	0.477
BBS1	RPGRIP1	9606.ENSP00000317469	9606.ENSP00000382895	0	0	0	0	0	0	0	0.487	0.487
BBS1	TMEM216	9606.ENSP00000317469	9606.ENSP00000334844	0	0	0	0	0.093	0	0	0.521	0.548
BBS1	CC2D2A	9606.ENSP00000317469	9606.ENSP00000403465	0	0	0	0	0.056	0	0	0.567	0.574
BBS1	RPGR	9606.ENSP00000317469	9606.ENSP00000495537	0	0	0	0	0	0	0	0.587	0.587
BBS1	OFD1	9606.ENSP00000317469	9606.ENSP00000344314	0	0	0	0	0.064	0.106	0	0.631	0.664
BBS1	IFT140	9606.ENSP00000317469	9606.ENSP00000406012	0	0	0	0	0.253	0	0	0.652	0.729
BBS1	WDR19	9606.ENSP00000317469	9606.ENSP00000382717	0	0	0	0	0.367	0.120	0	0.783	0.869
BBS1	CEP290	9606.ENSP00000317469	9606.ENSP00000448012	0	0	0	0	0.052	0.255	0	0.898	0.921
BBS1	ARL6	9606.ENSP00000317469	9606.ENSP00000419619	0	0	0	0	0.055	0.762	0.500	0.595	0.948
BBS1	TTC8	9606.ENSP00000317469	9606.ENSP00000482306	0	0	0	0	0.105	0.983	0.900	0.993	0.999
BBS2	ARL2BP	9606.ENSP00000245157	9606.ENSP00000219204	0	0	0	0	0.067	0	0	0.389	0.405
BBS2	TULP1	9606.ENSP00000245157	9606.ENSP00000229771	0	0	0	0	0	0	0	0.415	0.415
BBS2	IFT43	9606.ENSP00000245157	9606.ENSP00000238628	0	0	0	0	0.107	0	0	0.429	0.468
BBS2	RP1L1	9606.ENSP00000245157	9606.ENSP00000371923	0	0	0	0	0	0	0	0.402	0.402
BBS2	RHO	9606.ENSP00000245157	9606.ENSP00000296271	0	0	0	0	0.048	0	0	0.420	0.424
BBS2	USH2A	9606.ENSP00000245157	9606.ENSP00000305941	0	0	0	0	0	0	0	0.433	0.433
BBS2	RDH12	9606.ENSP00000245157	9606.ENSP00000449079	0	0	0	0	0.055	0.091	0	0.399	0.438
BBS2	KIF3B	9606.ENSP00000245157	9606.ENSP00000364864	0	0	0	0	0.044	0	0	0.438	0.440
BBS2	TMEM216	9606.ENSP00000245157	9606.ENSP00000334844	0	0	0	0	0.049	0	0	0.441	0.445
BBS2	ARL3	9606.ENSP00000245157	9606.ENSP00000260746	0	0	0	0	0.042	0.098	0	0.411	0.446
BBS2	RPGR	9606.ENSP00000245157	9606.ENSP00000495537	0	0	0	0	0.048	0	0	0.476	0.479
BBS2	RPGRIP1	9606.ENSP00000245157	9606.ENSP00000382895	0	0	0	0	0	0	0	0.511	0.511
BBS2	OFD1	9606.ENSP00000245157	9606.ENSP00000344314	0	0	0	0	0.080	0	0	0.537	0.556
BBS2	CC2D2A	9606.ENSP00000245157	9606.ENSP00000403465	0	0	0	0	0.049	0	0	0.582	0.586
BBS2	WDR19	9606.ENSP00000245157	9606.ENSP00000382717	0	0	0	0	0.167	0	0	0.545	0.605
BBS2	C8orf37	9606.ENSP00000245157	9606.ENSP00000286688	0	0	0	0	0.049	0	0	0.610	0.614
BBS2	IFT140	9606.ENSP00000245157	9606.ENSP00000406012	0	0	0	0	0.121	0	0	0.604	0.637
BBS2	IFT172	9606.ENSP00000245157	9606.ENSP00000260570	0	0	0	0	0.198	0	0	0.651	0.708
BBS2	ARL6	9606.ENSP00000245157	9606.ENSP00000419619	0	0	0	0	0.055	0.453	0.500	0.335	0.805
BBS2	CEP290	9606.ENSP00000245157	9606.ENSP00000448012	0	0	0	0	0.067	0.292	0	0.825	0.874
BBS2	BBS1	9606.ENSP00000245157	9606.ENSP00000317469	0	0	0	0	0.334	0.880	0.900	0.999	0.999
BBS2	TTC8	9606.ENSP00000245157	9606.ENSP00000482306	0	0	0.273	0	0.121	0.856	0.900	0.996	0.999
BEST1	IMPG2	9606.ENSP00000399709	9606.ENSP00000193391	0	0	0	0	0	0	0	0.775	0.775
BEST1	CRX	9606.ENSP00000399709	9606.ENSP00000221996	0	0	0	0	0.049	0	0	0.789	0.790
BEST1	TULP1	9606.ENSP00000399709	9606.ENSP00000229771	0	0	0	0	0	0	0	0.646	0.646
BEST1	GUCA1B	9606.ENSP00000399709	9606.ENSP00000230361	0	0	0	0	0.054	0	0	0.658	0.662
BEST1	CNGB1	9606.ENSP00000399709	9606.ENSP00000251102	0	0	0	0	0	0	0	0.688	0.688
BEST1	GUCY2D	9606.ENSP00000399709	9606.ENSP00000254854	0	0	0	0	0	0	0	0.507	0.507
BEST1	PDE6A	9606.ENSP00000399709	9606.ENSP00000255266	0	0	0	0	0.055	0	0	0.698	0.703
BEST1	RPE65	9606.ENSP00000399709	9606.ENSP00000262340	0	0	0	0	0	0	0	0.891	0.891
BEST1	RLBP1	9606.ENSP00000399709	9606.ENSP00000268125	0	0	0	0	0.077	0	0	0.781	0.789
BEST1	ROM1	9606.ENSP00000399709	9606.ENSP00000278833	0	0	0	0	0.048	0	0	0.704	0.706
BEST1	C8orf37	9606.ENSP00000399709	9606.ENSP00000286688	0	0	0	0	0	0	0	0.434	0.434
BEST1	MERTK	9606.ENSP00000399709	9606.ENSP00000295408	0	0	0	0	0.047	0	0	0.720	0.721
BEST1	RHO	9606.ENSP00000399709	9606.ENSP00000296271	0	0	0	0	0.057	0	0	0.596	0.603
BEST1	RP9	9606.ENSP00000399709	9606.ENSP00000297157	0	0	0	0	0	0	0	0.670	0.670
BEST1	CA4	9606.ENSP00000399709	9606.ENSP00000300900	0	0	0	0	0.049	0	0	0.549	0.552
BEST1	USH2A	9606.ENSP00000399709	9606.ENSP00000305941	0	0	0	0	0	0	0	0.540	0.540
BEST1	SNRNP200	9606.ENSP00000399709	9606.ENSP00000317123	0	0	0	0	0	0	0	0.647	0.647
BEST1	ZNF513	9606.ENSP00000399709	9606.ENSP00000318373	0	0	0	0	0	0.045	0	0.684	0.685
BEST1	PDE6G	9606.ENSP00000399709	9606.ENSP00000328412	0	0	0	0	0	0	0	0.668	0.668
BEST1	CLRN1	9606.ENSP00000399709	9606.ENSP00000329158	0	0	0	0	0.055	0	0	0.430	0.438
BEST1	PCARE	9606.ENSP00000399709	9606.ENSP00000332809	0	0	0	0	0	0	0	0.687	0.687
BEST1	FSCN2	9606.ENSP00000399709	9606.ENSP00000334665	0	0	0	0	0	0	0	0.707	0.707
BEST1	LRAT	9606.ENSP00000399709	9606.ENSP00000337224	0	0	0	0	0	0	0	0.594	0.594
BEST1	CERKL	9606.ENSP00000399709	9606.ENSP00000341159	0	0	0	0	0	0	0	0.705	0.705
BEST1	KLHL7	9606.ENSP00000399709	9606.ENSP00000343273	0	0	0	0	0.067	0	0	0.647	0.656
BEST1	IMPDH1	9606.ENSP00000399709	9606.ENSP00000345096	0	0	0	0	0.042	0	0	0.668	0.668
BEST1	DHDDS	9606.ENSP00000399709	9606.ENSP00000353104	0	0	0	0	0	0	0	0.419	0.418
BEST1	TOPORS	9606.ENSP00000399709	9606.ENSP00000353735	0	0	0	0	0	0	0	0.642	0.642
BEST1	SEMA4A	9606.ENSP00000399709	9606.ENSP00000357265	0	0	0	0	0.067	0	0	0.637	0.646
BEST1	IMPG1	9606.ENSP00000399709	9606.ENSP00000358966	0	0	0	0	0	0	0	0.623	0.623
BEST1	ABCA4	9606.ENSP00000399709	9606.ENSP00000359245	0	0	0	0	0	0	0	0.811	0.811
BEST1	EYS	9606.ENSP00000399709	9606.ENSP00000359655	0	0	0	0	0.045	0	0	0.744	0.745
BEST1	RP1L1	9606.ENSP00000399709	9606.ENSP00000371923	0	0	0	0	0	0	0	0.506	0.506
BEST1	SPATA7	9606.ENSP00000399709	9606.ENSP00000377176	0	0	0	0	0	0	0	0.507	0.507
BEST1	RPGRIP1	9606.ENSP00000399709	9606.ENSP00000382895	0	0	0	0	0.084	0	0	0.493	0.515
BEST1	CNGA1	9606.ENSP00000399709	9606.ENSP00000384264	0	0	0	0	0	0	0	0.628	0.628
BEST1	FAM161A	9606.ENSP00000399709	9606.ENSP00000385158	0	0	0	0	0	0	0	0.495	0.495
BEST1	RAX2	9606.ENSP00000399709	9606.ENSP00000450456	0	0	0	0	0	0.045	0	0.398	0.400
BEST1	PDE6B	9606.ENSP00000399709	9606.ENSP00000420295	0	0	0	0	0.055	0	0	0.490	0.497
BEST1	PROM1	9606.ENSP00000399709	9606.ENSP00000426809	0	0	0	0	0	0	0	0.537	0.537
BEST1	TTC8	9606.ENSP00000399709	9606.ENSP00000482306	0	0	0	0	0	0.054	0	0.573	0.578
BEST1	IDH3B	9606.ENSP00000399709	9606.ENSP00000482773	0	0	0	0	0	0	0	0.612	0.612
BEST1	NRL	9606.ENSP00000399709	9606.ENSP00000454062	0	0	0	0	0	0	0	0.660	0.660
BEST1	NR2E3	9606.ENSP00000399709	9606.ENSP00000482504	0	0	0	0	0	0.045	0	0.667	0.668
BEST1	RDH12	9606.ENSP00000399709	9606.ENSP00000449079	0	0	0	0	0	0	0	0.708	0.708
BEST1	PRCD	9606.ENSP00000399709	9606.ENSP00000467661	0	0	0	0	0	0	0	0.728	0.728
BEST1	RPGR	9606.ENSP00000399709	9606.ENSP00000495537	0	0	0	0	0.056	0	0	0.746	0.749
C8orf37	IMPG2	9606.ENSP00000286688	9606.ENSP00000193391	0	0	0	0	0	0	0	0.581	0.581
C8orf37	ARL2BP	9606.ENSP00000286688	9606.ENSP00000219204	0	0	0	0	0	0	0	0.539	0.539
C8orf37	CRX	9606.ENSP00000286688	9606.ENSP00000221996	0	0	0	0	0	0	0	0.506	0.506
C8orf37	TULP1	9606.ENSP00000286688	9606.ENSP00000229771	0	0	0	0	0	0	0	0.711	0.711
C8orf37	GUCA1B	9606.ENSP00000286688	9606.ENSP00000230361	0	0	0	0	0	0	0	0.447	0.447
C8orf37	BBS2	9606.ENSP00000286688	9606.ENSP00000245157	0	0	0	0	0.049	0	0	0.610	0.614
C8orf37	CNGB1	9606.ENSP00000286688	9606.ENSP00000251102	0	0	0	0	0	0	0	0.481	0.481
C8orf37	GUCY2D	9606.ENSP00000286688	9606.ENSP00000254854	0	0	0	0	0	0	0	0.576	0.576
C8orf37	PDE6A	9606.ENSP00000286688	9606.ENSP00000255266	0	0	0	0	0	0	0	0.469	0.469
C8orf37	IFT172	9606.ENSP00000286688	9606.ENSP00000260570	0	0	0	0	0.067	0	0	0.643	0.652
C8orf37	RPE65	9606.ENSP00000286688	9606.ENSP00000262340	0	0	0	0	0	0	0	0.411	0.411
C8orf37	PITPNM3	9606.ENSP00000286688	9606.ENSP00000262483	0	0	0	0	0	0	0	0.519	0.519
C8orf37	ROM1	9606.ENSP00000286688	9606.ENSP00000278833	0	0	0	0	0	0	0	0.585	0.585
C8orf37	CC2D2A	9606.ENSP00000286688	9606.ENSP00000403465	0	0	0	0	0.049	0	0	0.406	0.411
C8orf37	CACNA1F	9606.ENSP00000286688	9606.ENSP00000365441	0	0	0	0	0	0	0	0.417	0.416
C8orf37	LRAT	9606.ENSP00000286688	9606.ENSP00000337224	0	0	0	0	0	0	0	0.418	0.418
C8orf37	ARL6	9606.ENSP00000286688	9606.ENSP00000419619	0	0	0	0	0.155	0	0	0.340	0.418
C8orf37	RP9	9606.ENSP00000286688	9606.ENSP00000297157	0	0	0	0	0	0	0	0.419	0.418
C8orf37	BEST1	9606.ENSP00000286688	9606.ENSP00000399709	0	0	0	0	0	0	0	0.434	0.434
C8orf37	NR2E3	9606.ENSP00000286688	9606.ENSP00000482504	0	0	0	0	0	0	0	0.435	0.435
C8orf37	IMPDH1	9606.ENSP00000286688	9606.ENSP00000345096	0	0	0	0	0	0	0	0.435	0.435
C8orf37	CFAP410	9606.ENSP00000286688	9606.ENSP00000381047	0	0	0	0	0	0	0	0.444	0.444
C8orf37	CNGA1	9606.ENSP00000286688	9606.ENSP00000384264	0	0	0	0	0	0	0	0.446	0.446
C8orf37	NRL	9606.ENSP00000286688	9606.ENSP00000454062	0	0	0	0	0	0	0	0.446	0.446
C8orf37	IDH3B	9606.ENSP00000286688	9606.ENSP00000482773	0	0	0	0	0	0	0	0.447	0.447
C8orf37	USH2A	9606.ENSP00000286688	9606.ENSP00000305941	0	0	0	0	0.042	0	0	0.473	0.474
C8orf37	PDE6G	9606.ENSP00000286688	9606.ENSP00000328412	0	0	0	0	0	0	0	0.480	0.480
C8orf37	IFT140	9606.ENSP00000286688	9606.ENSP00000406012	0	0	0	0	0	0	0	0.488	0.488
C8orf37	PRCD	9606.ENSP00000286688	9606.ENSP00000467661	0	0	0	0	0	0	0	0.516	0.516
C8orf37	FSCN2	9606.ENSP00000286688	9606.ENSP00000334665	0	0	0	0	0	0	0	0.524	0.524
C8orf37	TOPORS	9606.ENSP00000286688	9606.ENSP00000353735	0	0	0	0	0	0	0	0.544	0.544
C8orf37	CLRN1	9606.ENSP00000286688	9606.ENSP00000329158	0	0	0	0	0	0	0	0.545	0.545
C8orf37	CEP290	9606.ENSP00000286688	9606.ENSP00000448012	0	0	0	0	0.049	0	0	0.557	0.561
C8orf37	RDH12	9606.ENSP00000286688	9606.ENSP00000449079	0	0	0	0	0	0	0	0.567	0.567
C8orf37	SPATA7	9606.ENSP00000286688	9606.ENSP00000377176	0	0	0	0	0.092	0	0	0.551	0.575
C8orf37	EYS	9606.ENSP00000286688	9606.ENSP00000359655	0	0	0	0	0.060	0	0	0.571	0.579
C8orf37	DHDDS	9606.ENSP00000286688	9606.ENSP00000353104	0	0	0	0	0	0	0	0.580	0.580
C8orf37	RPGR	9606.ENSP00000286688	9606.ENSP00000495537	0	0	0	0	0.042	0	0	0.580	0.580
C8orf37	PCARE	9606.ENSP00000286688	9606.ENSP00000332809	0	0	0	0	0	0	0	0.581	0.581
C8orf37	ZNF513	9606.ENSP00000286688	9606.ENSP00000318373	0	0	0	0	0	0	0	0.581	0.581
C8orf37	SEMA4A	9606.ENSP00000286688	9606.ENSP00000357265	0	0	0	0	0	0	0	0.587	0.587
C8orf37	ABCA4	9606.ENSP00000286688	9606.ENSP00000359245	0	0	0	0	0	0	0	0.588	0.588
C8orf37	RAX2	9606.ENSP00000286688	9606.ENSP00000450456	0	0	0	0	0.083	0	0	0.571	0.589
C8orf37	FAM161A	9606.ENSP00000286688	9606.ENSP00000385158	0	0	0	0	0.082	0	0	0.592	0.609
C8orf37	RPGRIP1	9606.ENSP00000286688	9606.ENSP00000382895	0	0	0	0	0	0	0	0.610	0.610
C8orf37	BBS1	9606.ENSP00000286688	9606.ENSP00000317469	0	0	0	0	0.049	0	0	0.610	0.613
C8orf37	OFD1	9606.ENSP00000286688	9606.ENSP00000344314	0	0	0	0	0.049	0	0	0.616	0.619
C8orf37	RP1L1	9606.ENSP00000286688	9606.ENSP00000371923	0	0	0	0	0.049	0	0	0.660	0.663
C8orf37	CERKL	9606.ENSP00000286688	9606.ENSP00000341159	0	0	0	0	0	0	0	0.675	0.675
C8orf37	TTC8	9606.ENSP00000286688	9606.ENSP00000482306	0	0	0	0	0.085	0	0	0.757	0.768
CA4	IMPG2	9606.ENSP00000300900	9606.ENSP00000193391	0	0	0	0	0	0	0	0.588	0.588
CA4	CRX	9606.ENSP00000300900	9606.ENSP00000221996	0	0	0	0	0	0	0	0.566	0.566
CA4	TULP1	9606.ENSP00000300900	9606.ENSP00000229771	0	0	0	0	0	0	0	0.577	0.577
CA4	GUCA1B	9606.ENSP00000300900	9606.ENSP00000230361	0	0	0	0	0.050	0	0	0.630	0.633
CA4	CNGB1	9606.ENSP00000300900	9606.ENSP00000251102	0	0	0	0	0.050	0	0	0.568	0.572
CA4	PDE6A	9606.ENSP00000300900	9606.ENSP00000255266	0	0	0	0	0.056	0	0	0.608	0.614
CA4	RPE65	9606.ENSP00000300900	9606.ENSP00000262340	0	0	0	0	0	0	0	0.547	0.547
CA4	ROM1	9606.ENSP00000300900	9606.ENSP00000278833	0	0	0	0	0.055	0	0	0.492	0.500
CA4	MERTK	9606.ENSP00000300900	9606.ENSP00000295408	0	0	0	0	0.054	0	0	0.473	0.480
CA4	RP9	9606.ENSP00000300900	9606.ENSP00000297157	0	0	0	0	0	0	0	0.710	0.710
CA4	PROM1	9606.ENSP00000300900	9606.ENSP00000426809	0	0	0	0	0.049	0	0	0.413	0.417
CA4	ABCA4	9606.ENSP00000300900	9606.ENSP00000359245	0	0	0	0	0	0	0	0.499	0.499
